world_rank,university_name,Country,Region,Climate,Tuition_Fees (USD)[10076-49933],Average_Living_Cost (USD),Scholarship_Option(yes/no),Global_Ranking,Internship_Placement_Rate(%),Research_Opportunities,Teaching_Method,Faculty_Credentials (%),Degree_Recognition,Student_Satisfaction_Rate (%),Course_Flexibility,Dual_Degree_Programs,Transfer_Options,Living_Conditions,Average_Placement_(LPA)[5-19.94],Global_Certifications,Alumni_Network,Scholarship_Program,Scholarship_Amount(USD),Visa_Sponsorship,Visa_Sponsorship_Details,Language_Requirements,Aptitude_Test_Requirements,Top_Hiring_Industries,Fields_of Study Available,Year_Established,Program_Duration (Years),Student Facilities,Dining Options,Acceptance_Rate(%),Application_Deadlines,Interview Requirement,Student Support Services,Class Size,Safety Index (%),Currency Used,College Recognition and Awards,Early Decision,Waitlist Acceptance Rate (%),Open Electives Per Stream,Student Exchange Program,Local Attractions,Accessibility for Students with Disabilities,Quality of Mentors (Rating out of 10),Gap Year Support,Recommendation Letters Requirement,Embassy Support,Events,Smart Classroom Features,Collaborative Study Spaces,Retention Rate (%),Summer and Winter Internship
144,"University of California, Santa Cruz",UK,North America,Arid,24929,14359,Yes,42,69.07199037,No,Online,72,National,61,Low,Yes,Yes,Medium,15.01,Yes,Active,No Scholarship,4297.4,No,Full Sponsorship,French,None,Manufacturing,Engineering,1855,3,Labs,Cafeteria,33,Jan-15,No,Yes,13,90,EUR,National Recognition,No,2,4,Yes,Nature Reserves,Excellent,6.417696144,Available,Yes,Low,70,Yes,Yes,95.95814195,No
182,University of Bergen,Germany,Europe,Arid,27017,15284,Yes,42,91.83998059,No,Hybrid,97,International,96,High,No,No,Low,17.87,No,Active,Full Scholarship,20472.5,Yes,No Sponsorship,Mandarin,GRE,Healthcare,Business,2013,4,Sports Complex,Restaurants,49,Jan-15,No,Yes,15,85,USD,Global Ranking Top 100,No,4,9,No,Hiking Trails,Good,9.436123394,Not Available,No,Low,95,Yes,No,72.41007431,No
201-250,Northeastern University,Canada,Europe,Temperate,38952,8485,No,42,58.58637432,No,In-person,84,International,78,Low,Yes,No,Medium,13.45,No,Inactive,Partial Scholarship,3514.68,No,No Sponsorship,German,TOEFL,Finance,Science,1863,5,Sports Complex,Food Court,21,Nov-01,Yes,Yes,31,95,EUR,Global Ranking Top 100,No,2,5,No,Festivals,Average,8.580751394,Not Available,No,Low,76,No,Yes,77.67108856,No
501-600,Montana State University,UK,Asia,Continental,25373,20954,No,42,52.84156483,Yes,In-person,80,International,98,Medium,No,No,High,15.56,No,Inactive,Partial Scholarship,45704.04,Yes,Full Sponsorship,German,None,Manufacturing,Law,1980,5,Gym,Cafeteria,28,Apr-30,Yes,No,31,80,USD,Regional Award,No,10,4,No,Lakes,Excellent,8.500680814,Not Available,No,Low,54,No,Yes,93.0957049,No
201-250,University of Technology Sydney,Australia,Oceania,Continental,24169,22827,Yes,43,59.94078023,Yes,In-person,80,International,62,Low,Yes,No,Medium,14.87,No,Active,Full Scholarship,40981.6,Yes,Full Sponsorship,German,TOEFL,Tech,Law,1830,5,Sports Complex,Restaurants,9,Apr-30,Yes,Yes,22,95,EUR,Global Ranking Top 100,No,7,4,Yes,Historic Bridges,Excellent,6.106678403,Not Available,No,Medium,22,No,Yes,78.06052034,No
351-400,Graz University of Technology,Australia,Oceania,Tropical,18326,14207,Yes,43,67.93165226,Yes,Online,78,National,65,Medium,No,Yes,High,7.36,Yes,Active,Partial Scholarship,9839.92,No,Partial Sponsorship,German,IELTS,Healthcare,Arts,1886,3,Library,Food Court,39,Apr-30,Yes,Yes,20,80,USD,Regional Award,No,10,3,No,Festivals,Good,7.702149692,Not Available,Yes,Medium,96,Yes,No,92.01079657,Yes
601-800,University of Tehran,Germany,Europe,Continental,28350,22744,No,43,81.50210628,No,Hybrid,97,National,100,Medium,No,No,Low,18,Yes,Inactive,Full Scholarship,17472.62,Yes,No Sponsorship,Spanish,GRE,Manufacturing,Law,1964,5,Sports Complex,Food Court,8,Apr-30,No,No,38,90,GBP,Global Ranking Top 100,Yes,2,8,Yes,Theaters,Excellent,9.312084394,Not Available,Yes,Low,11,Yes,No,76.9180361,Yes
69,University of Bristol,UK,North America,Continental,24320,13273,Yes,45,79.8177038,No,Hybrid,76,Regional,63,Medium,No,Yes,Medium,16.91,Yes,Active,Partial Scholarship,15704.25,No,Full Sponsorship,Mandarin,IELTS,Tech,Technology,1868,3,Sports Complex,Cafeteria,47,Apr-30,Yes,Yes,16,95,USD,Regional Award,No,2,4,No,Natural Springs,Good,8.494209274,Available,No,High,82,Yes,No,89.83794702,No
301-350,University of Connecticut,Australia,North America,Arid,20645,8372,No,49,56.74491421,Yes,Hybrid,84,International,68,High,Yes,No,Low,17.44,No,Active,Full Scholarship,28270.02,No,Partial Sponsorship,French,TOEFL,Finance,Technology,1807,3,Labs,Cafeteria,48,Jan-15,No,No,35,90,USD,Regional Award,Yes,0,8,Yes,Piers and Harbors,Excellent,9.750968572,Not Available,Yes,Low,50,No,Yes,91.70269834,No
401-500,Florida International University,UK,North America,Tropical,17243,21151,Yes,49,81.87173194,No,Hybrid,81,International,71,Medium,Yes,Yes,High,10.9,Yes,Active,No Scholarship,15243.99,No,No Sponsorship,Spanish,None,Tech,Law,1942,3,Sports Complex,Cafeteria,40,Nov-01,No,No,13,80,USD,National Recognition,No,8,6,No,Vineyards,Good,6.387549005,Available,No,High,93,No,Yes,93.41007184,No
501-600,Federal University of Rio de Janeiro,Australia,North America,Continental,48240,9447,No,50,92.66343454,No,In-person,82,International,86,High,Yes,Yes,High,14.94,Yes,Active,Full Scholarship,25335.62,Yes,Full Sponsorship,Mandarin,IELTS,Finance,Science,1886,3,Labs,Cafeteria,43,Apr-30,No,No,14,90,USD,National Recognition,Yes,2,2,No,Beaches and Coastal Areas,Average,9.556648992,Not Available,No,Low,66,Yes,No,86.92638447,Yes
601-800,Federal University of Santa Catarina,UK,Oceania,Tropical,47293,12116,No,50,79.78202444,Yes,Online,87,International,85,Medium,No,Yes,High,7.63,Yes,Active,No Scholarship,2672.48,Yes,No Sponsorship,Mandarin,TOEFL,Manufacturing,Law,2013,3,Labs,Food Court,45,Nov-01,No,Yes,23,80,USD,Regional Award,Yes,4,5,Yes,Historic Bridges,Good,6.171254359,Available,No,High,54,Yes,No,85.36050138,No
201-250,"Birkbeck, University of London",Canada,North America,Arid,31002,24854,Yes,51,68.91962555,Yes,In-person,81,Regional,98,Medium,No,Yes,Medium,16.74,No,Active,No Scholarship,31261.56,Yes,Full Sponsorship,French,TOEFL,Manufacturing,Technology,1824,3,Sports Complex,Cafeteria,27,Apr-30,No,No,45,90,USD,Global Ranking Top 100,Yes,3,10,Yes,Flea Markets,Excellent,6.655786563,Available,No,High,17,No,Yes,75.22905796,Yes
351-400,"National University of Ireland, Maynooth",Australia,Europe,Tropical,12104,14785,No,51,65.16660771,Yes,Hybrid,99,International,98,Low,No,No,Medium,5.98,Yes,Inactive,Partial Scholarship,40632.34,Yes,Partial Sponsorship,Mandarin,None,Manufacturing,Technology,1821,4,Labs,Food Court,9,Jan-15,Yes,No,16,90,GBP,Regional Award,Yes,10,8,Yes,Vineyards,Excellent,7.259887117,Available,Yes,Low,46,Yes,No,79.23160449,Yes
301-350,University of Bremen,Germany,North America,Continental,46195,16122,Yes,52,52.83317571,Yes,Hybrid,100,National,80,High,Yes,Yes,High,8.55,No,Inactive,Full Scholarship,42446.04,No,No Sponsorship,French,IELTS,Finance,Arts,2020,3,Library,Food Court,7,Nov-01,Yes,Yes,44,90,USD,National Recognition,Yes,2,3,No,Hot Springs,Good,8.115839375,Available,No,Low,14,Yes,No,76.44866466,Yes
201-250,Fudan University,Canada,Oceania,Arid,37283,17237,No,53,55.39963228,Yes,In-person,85,National,78,High,No,Yes,Medium,9.1,No,Inactive,Partial Scholarship,27162.54,Yes,No Sponsorship,Spanish,IELTS,Tech,Arts,1979,5,Library,Restaurants,5,Apr-30,Yes,No,44,80,USD,Global Ranking Top 100,Yes,9,6,Yes,Vineyards,Excellent,7.291975051,Available,Yes,High,93,No,No,85.53420371,Yes
601-800,Kaohsiung Medical University,Australia,Europe,Arid,31455,18253,No,53,95.28945103,No,Hybrid,92,Regional,95,Low,No,No,High,7.12,No,Inactive,Full Scholarship,22731.76,Yes,Full Sponsorship,Mandarin,GRE,Finance,Engineering,1942,5,Labs,Restaurants,31,Apr-30,No,Yes,11,95,USD,Global Ranking Top 100,Yes,3,5,No,Piers and Harbors,Average,8.414161354,Not Available,No,Medium,87,Yes,No,94.89085453,No
14,University College London,Australia,Oceania,Tropical,22955,17619,No,54,52.51836403,Yes,Online,81,International,65,High,No,No,High,7.37,Yes,Active,Full Scholarship,46963.88,No,No Sponsorship,Mandarin,None,Tech,Science,1856,5,Gym,Cafeteria,15,Jan-15,Yes,Yes,38,90,USD,National Recognition,No,3,1,Yes,Theme Parks,Average,8.259303081,Available,Yes,High,69,Yes,No,83.55315367,No
164,University of Reading,UK,North America,Temperate,40075,10180,No,54,68.12620167,No,In-person,72,National,67,High,No,No,High,9.83,Yes,Active,No Scholarship,10906.56,No,No Sponsorship,English,GRE,Manufacturing,Law,1971,4,Sports Complex,Food Court,15,Nov-01,No,Yes,29,85,USD,Regional Award,No,1,9,Yes,Lakes,Good,8.836613591,Not Available,No,Medium,35,Yes,No,87.48892231,No
201-250,University of Ottawa,Canada,Asia,Continental,30782,14759,Yes,54,87.02818622,No,Online,84,National,80,High,No,No,Low,5.58,No,Active,Full Scholarship,49185.44,No,Partial Sponsorship,Mandarin,None,Consulting,Science,1806,5,Gym,Cafeteria,28,Jan-15,Yes,No,10,95,USD,Regional Award,No,9,3,No,Ski Resorts,Average,6.76238931,Available,Yes,High,37,Yes,No,81.81341485,Yes
351-400,Verona University,Germany,North America,Temperate,16355,20763,Yes,55,75.01932536,No,In-person,84,National,92,Medium,Yes,No,High,13.9,No,Inactive,Partial Scholarship,35032.11,No,Full Sponsorship,French,TOEFL,Healthcare,Technology,1931,3,Library,Restaurants,11,Apr-30,Yes,No,38,80,USD,National Recognition,Yes,5,5,No,Library,Good,6.541100595,Not Available,Yes,High,12,Yes,No,98.30238245,Yes
601-800,Chung Yuan Christian University,UK,Asia,Tropical,45307,8162,Yes,55,85.3290539,No,In-person,86,International,79,Medium,Yes,Yes,High,10.95,No,Inactive,No Scholarship,40400.2,No,Partial Sponsorship,French,None,Manufacturing,Science,2009,3,Gym,Food Court,26,Jan-15,No,Yes,12,80,USD,Regional Award,No,0,5,No,Vineyards,Excellent,8.844947485,Available,Yes,Low,38,Yes,No,87.1428647,No
201-250,University of Otago,Canada,Oceania,Temperate,20298,22234,Yes,57,66.00828931,Yes,In-person,82,Regional,73,High,No,Yes,Medium,15.03,No,Inactive,Full Scholarship,47955.97,Yes,Full Sponsorship,Spanish,None,Tech,Science,1881,4,Library,Food Court,31,Jan-15,No,Yes,42,80,USD,Global Ranking Top 100,Yes,1,8,Yes,Theaters,Good,8.419473466,Available,No,Low,17,No,Yes,81.25728383,Yes
501-600,University of Regina,Germany,Europe,Continental,34223,21156,No,57,70.44674469,Yes,In-person,78,National,100,Low,Yes,Yes,Medium,19.48,Yes,Inactive,No Scholarship,48700.62,Yes,No Sponsorship,Spanish,None,Finance,Engineering,1994,4,Sports Complex,Cafeteria,23,Nov-01,No,Yes,25,85,USD,Global Ranking Top 100,No,8,9,Yes,Concert Halls,Good,9.188342252,Not Available,Yes,Low,41,No,Yes,79.91422344,Yes
601-800,"Birla Institute of Technology and Science, Pilani",UK,Oceania,Continental,28271,18517,Yes,58,74.17664718,No,Online,91,Regional,76,Low,Yes,Yes,Low,19.82,No,Active,Partial Scholarship,19001.79,Yes,No Sponsorship,French,TOEFL,Healthcare,Law,1997,3,Labs,Restaurants,33,Jan-15,No,Yes,34,80,EUR,National Recognition,No,3,2,Yes,Lakes,Good,6.712355033,Available,Yes,Low,77,Yes,No,91.67899934,No
601-800,Tokyo University of Science,Germany,Oceania,Continental,45843,19270,Yes,58,69.90012568,Yes,Hybrid,86,National,81,High,No,Yes,Medium,6.87,Yes,Active,No Scholarship,31905.41,No,Full Sponsorship,French,TOEFL,Finance,Science,2009,5,Gym,Restaurants,8,Jan-15,No,No,41,90,USD,Global Ranking Top 100,No,9,5,Yes,Flea Markets,Average,7.796980704,Available,Yes,Medium,79,Yes,No,74.24546257,No
301-350,National Taiwan University of Science and Technology (Taiwan Tech),UK,Oceania,Tropical,29573,10057,Yes,60,99.52712006,Yes,Online,78,National,97,Low,Yes,Yes,High,16.68,No,Inactive,Full Scholarship,18474.82,Yes,Partial Sponsorship,German,None,Tech,Law,1920,4,Labs,Restaurants,23,Apr-30,No,No,43,80,GBP,Regional Award,No,1,5,No,Concert Halls,Average,8.710414076,Not Available,Yes,Medium,68,Yes,Yes,89.09947175,Yes
301-350,VÅ B - Technical University of Ostrava,Australia,Oceania,Arid,22518,8560,No,60,88.61440412,Yes,Hybrid,82,Regional,75,High,Yes,No,High,18.48,Yes,Inactive,Full Scholarship,36462.49,No,Partial Sponsorship,English,IELTS,Manufacturing,Engineering,1942,3,Library,Restaurants,40,Nov-01,Yes,Yes,36,80,USD,Global Ranking Top 100,Yes,4,10,No,Nature Reserves,Average,6.830576873,Not Available,Yes,Medium,25,No,Yes,75.35975528,Yes
601-800,Northwestern Polytechnical University,USA,Oceania,Temperate,27316,20887,No,60,54.16084439,No,Online,74,International,74,Medium,No,Yes,High,6.25,Yes,Inactive,No Scholarship,19312.92,No,No Sponsorship,English,None,Tech,Business,1829,4,Gym,Restaurants,8,Apr-30,No,No,46,90,GBP,Regional Award,No,7,10,No,Opera Houses,Average,9.696866238,Not Available,No,Medium,73,No,Yes,86.3668402,Yes
201-250,Goethe University Frankfurt,Germany,North America,Arid,18197,24220,No,61,84.54996757,Yes,In-person,97,International,63,Medium,No,Yes,Medium,7.4,Yes,Inactive,Partial Scholarship,45617.82,No,Partial Sponsorship,German,IELTS,Healthcare,Science,1996,3,Gym,Cafeteria,50,Nov-01,Yes,No,29,90,USD,Regional Award,No,6,9,Yes,Lakesides,Excellent,7.700720584,Available,No,High,78,No,Yes,90.7555651,Yes
301-350,Medical College of Wisconsin,Australia,Asia,Temperate,13596,18559,Yes,62,80.19834805,No,Hybrid,84,National,70,Medium,Yes,No,High,13.61,No,Active,Full Scholarship,39162.69,Yes,Partial Sponsorship,German,None,Manufacturing,Science,1880,4,Library,Restaurants,36,Nov-01,No,No,41,85,USD,National Recognition,Yes,5,2,Yes,Opera Houses,Average,6.855225979,Not Available,Yes,Medium,60,Yes,Yes,87.12865994,Yes
301-350,Autonomous University of Madrid,Germany,Europe,Temperate,18233,17916,Yes,63,74.00439287,No,Hybrid,83,National,69,Medium,No,Yes,Medium,12.99,No,Inactive,Full Scholarship,18632.6,Yes,Partial Sponsorship,French,TOEFL,Tech,Law,1920,5,Library,Food Court,27,Apr-30,No,No,12,80,USD,Global Ranking Top 100,Yes,9,1,Yes,Islands,Average,9.302374029,Available,No,Medium,63,Yes,Yes,91.42368812,No
31,Ã‰cole Polytechnique FÃ©dÃ©rale de Lausanne,Germany,Europe,Temperate,47220,12734,Yes,64,77.42014976,Yes,Online,80,Regional,73,Medium,No,No,Low,17.23,No,Inactive,No Scholarship,30881.89,No,Partial Sponsorship,English,GRE,Finance,Law,2004,5,Gym,Food Court,43,Jan-15,Yes,Yes,32,95,USD,National Recognition,No,1,10,Yes,Coastal Walks,Average,7.497632058,Not Available,No,Low,51,Yes,Yes,77.53236985,No
56,University of Manchester,Australia,North America,Tropical,38041,23783,No,66,75.6747831,No,Hybrid,98,Regional,62,Low,Yes,Yes,Medium,8.24,No,Inactive,Full Scholarship,21330.59,No,Full Sponsorship,Spanish,None,Manufacturing,Law,1827,4,Sports Complex,Restaurants,40,Jan-15,Yes,No,31,85,USD,Regional Award,Yes,6,7,Yes,Ruins,Average,7.080347402,Not Available,Yes,High,90,No,Yes,82.02727172,No
401-500,Tampere University of Technology,UK,Asia,Tropical,13056,21432,No,66,77.95465119,Yes,Online,98,Regional,78,High,No,No,Low,11.79,Yes,Inactive,No Scholarship,19140.03,Yes,Full Sponsorship,German,None,Tech,Engineering,1842,5,Gym,Cafeteria,39,Jan-15,Yes,Yes,22,80,USD,Global Ranking Top 100,Yes,2,3,Yes,Parks and Green Spaces,Excellent,9.673778022,Not Available,No,High,53,No,No,78.91931645,No
63,University of North Carolina at Chapel Hill,UK,Asia,Continental,43538,18308,Yes,67,92.92361924,No,Online,100,National,66,High,No,Yes,Low,8.51,Yes,Active,No Scholarship,8606.55,No,No Sponsorship,English,IELTS,Finance,Engineering,1891,5,Labs,Food Court,48,Jan-15,Yes,No,13,80,EUR,Regional Award,No,8,1,Yes,Ski Resorts,Average,8.980158403,Not Available,Yes,Medium,24,Yes,Yes,70.38680339,Yes
149,University of Twente,UK,North America,Temperate,24726,9415,Yes,67,75.50671466,No,In-person,70,International,60,High,Yes,Yes,Medium,18.58,Yes,Inactive,No Scholarship,19600.9,Yes,No Sponsorship,French,None,Healthcare,Engineering,1964,3,Library,Food Court,22,Apr-30,No,No,50,95,EUR,Regional Award,Yes,9,6,No,Vineyards,Average,9.032904214,Available,No,Medium,39,No,Yes,73.67367426,No
301-350,Plymouth University,Canada,Europe,Tropical,12697,17013,No,67,62.00531654,Yes,Hybrid,73,National,71,Medium,Yes,Yes,High,13.73,No,Active,No Scholarship,7478.44,No,No Sponsorship,French,IELTS,Manufacturing,Science,1910,4,Gym,Restaurants,21,Apr-30,No,Yes,47,80,EUR,Global Ranking Top 100,Yes,6,2,Yes,Hiking Trails,Excellent,8.178739416,Available,Yes,High,32,Yes,Yes,81.5871953,No
351-400,University of Montana,USA,Europe,Temperate,37506,19842,No,67,88.05551488,No,Hybrid,70,National,89,Low,Yes,No,High,12.93,Yes,Active,Full Scholarship,49432.26,Yes,Partial Sponsorship,Mandarin,GRE,Manufacturing,Science,1813,4,Gym,Food Court,29,Nov-01,No,No,31,90,GBP,Regional Award,Yes,3,7,Yes,Cultural Centers,Excellent,7.474015142,Available,No,High,95,Yes,Yes,70.59114152,Yes
34,University of British Columbia,USA,Europe,Arid,40741,18159,No,68,77.02044256,Yes,In-person,90,Regional,63,Medium,Yes,No,Medium,16.53,No,Active,Full Scholarship,45835.63,Yes,No Sponsorship,Spanish,GRE,Finance,Engineering,1821,4,Gym,Cafeteria,24,Jan-15,No,Yes,20,95,EUR,National Recognition,Yes,2,8,Yes,Mountain Passes,Excellent,6.511691894,Not Available,Yes,High,81,Yes,Yes,91.65660814,Yes
67,Leiden University,Australia,Oceania,Tropical,27357,19863,Yes,69,98.38190158,Yes,Hybrid,98,National,64,Low,Yes,Yes,High,13.59,No,Inactive,No Scholarship,32376.97,Yes,Full Sponsorship,English,IELTS,Healthcare,Technology,2011,3,Labs,Restaurants,28,Nov-01,Yes,Yes,26,80,EUR,National Recognition,Yes,1,7,Yes,Amusement Parks,Excellent,7.082471675,Not Available,Yes,Medium,50,No,No,70.34365876,Yes
501-600,Edith Cowan University,USA,North America,Temperate,11795,13315,Yes,69,77.15820844,No,Hybrid,78,International,75,Medium,No,No,Low,5.75,No,Inactive,Full Scholarship,40768.71,Yes,Partial Sponsorship,Spanish,GRE,Manufacturing,Law,1863,3,Gym,Restaurants,26,Nov-01,Yes,Yes,35,80,GBP,Global Ranking Top 100,No,4,1,Yes,Shopping Districts,Excellent,6.865456515,Not Available,No,Medium,16,Yes,Yes,95.52625892,No
44,University of Hong Kong,Australia,Asia,Temperate,15816,21351,No,70,75.73675521,No,In-person,99,International,90,Low,No,No,High,13.3,Yes,Active,No Scholarship,45845.45,Yes,Partial Sponsorship,German,GRE,Consulting,Technology,1928,5,Gym,Food Court,14,Nov-01,No,Yes,28,95,GBP,Global Ranking Top 100,Yes,3,9,No,Shopping Districts,Good,6.006145762,Not Available,Yes,Low,13,Yes,Yes,85.62304531,No
116,Pohang University of Science and Technology,Australia,Asia,Continental,28463,14602,Yes,70,59.36815251,No,In-person,97,Regional,86,Medium,No,No,Low,7.34,Yes,Inactive,Partial Scholarship,12868.84,Yes,No Sponsorship,German,None,Finance,Law,1963,3,Library,Food Court,46,Apr-30,No,Yes,47,90,EUR,Global Ranking Top 100,No,4,4,No,Flea Markets,Good,7.267472661,Not Available,Yes,High,87,Yes,Yes,76.36159061,No
401-500,University of Waikato,USA,Asia,Tropical,13539,13200,No,70,54.61715445,No,Hybrid,78,International,73,High,Yes,No,High,10.61,Yes,Active,Full Scholarship,21468.83,Yes,Partial Sponsorship,German,IELTS,Consulting,Business,1818,3,Labs,Food Court,15,Jan-15,Yes,Yes,10,80,GBP,National Recognition,No,1,1,No,Castles,Good,8.981796433,Not Available,No,Low,32,No,No,71.90128843,No
501-600,South China University of Technology,Australia,Asia,Temperate,33034,16417,Yes,70,72.54496031,No,Hybrid,100,National,74,High,No,Yes,Low,7.76,Yes,Active,No Scholarship,48664.6,No,Partial Sponsorship,German,None,Tech,Arts,1828,3,Library,Restaurants,22,Apr-30,No,No,20,80,USD,National Recognition,No,4,2,No,Islands,Good,8.783288548,Not Available,Yes,Low,18,No,Yes,91.09961795,No
182,Cardiff University,Australia,Europe,Continental,16371,24457,No,71,74.37164868,Yes,Online,94,National,60,Medium,Yes,No,High,10.6,No,Active,Partial Scholarship,9742.7,No,Partial Sponsorship,Spanish,GRE,Healthcare,Law,1876,3,Labs,Restaurants,42,Apr-30,No,Yes,21,95,GBP,Global Ranking Top 100,No,3,6,No,Theme Parks,Good,8.741859897,Available,No,Low,93,No,Yes,79.19500832,Yes
401-500,University of Nantes,Australia,Europe,Arid,22820,19694,No,71,52.70549494,No,Online,75,Regional,92,High,No,No,Low,16.96,Yes,Active,Full Scholarship,21520.07,Yes,No Sponsorship,German,IELTS,Manufacturing,Arts,1825,4,Gym,Food Court,48,Jan-15,Yes,Yes,41,95,USD,National Recognition,No,9,9,No,Nature Reserves,Good,6.855818732,Not Available,No,Low,39,No,Yes,85.73342457,Yes
401-500,Complutense University of Madrid,USA,Oceania,Continental,34180,21718,No,72,73.04196628,Yes,In-person,71,International,88,Low,Yes,Yes,Low,17.07,Yes,Inactive,No Scholarship,11113.22,Yes,Full Sponsorship,English,None,Consulting,Law,2002,5,Labs,Food Court,27,Apr-30,No,No,40,85,USD,Regional Award,No,8,5,Yes,Piers and Harbors,Good,9.498837226,Not Available,Yes,Medium,88,No,Yes,82.40040928,No
601-800,Universiti Kebangsaan Malaysia,UK,Asia,Tropical,18714,11267,Yes,74,80.08359301,Yes,In-person,72,International,86,Low,Yes,Yes,Low,7.07,No,Inactive,No Scholarship,37316.14,No,No Sponsorship,French,GRE,Healthcare,Arts,1986,4,Gym,Food Court,49,Jan-15,Yes,No,20,85,EUR,Regional Award,Yes,2,2,No,Historic Bridges,Excellent,7.592971338,Not Available,Yes,Medium,71,No,No,78.47305664,Yes
601-800,University of Indonesia,Germany,Europe,Arid,33397,13079,No,75,89.83393463,Yes,In-person,76,Regional,90,Medium,Yes,No,Medium,10.05,Yes,Inactive,Full Scholarship,42504.61,No,Partial Sponsorship,French,GRE,Healthcare,Law,1810,4,Gym,Food Court,46,Nov-01,No,No,43,85,EUR,Regional Award,Yes,4,3,No,Lakes,Average,7.111757378,Not Available,No,High,54,Yes,No,72.4981158,Yes
601-800,Kinki University,USA,Europe,Temperate,46549,10934,Yes,75,84.26019416,Yes,In-person,96,National,96,Medium,Yes,Yes,Low,8.47,Yes,Active,No Scholarship,26570.23,Yes,No Sponsorship,German,IELTS,Finance,Arts,1828,4,Library,Food Court,7,Nov-01,No,No,16,95,EUR,Regional Award,No,1,1,Yes,Concert Halls,Average,8.633264102,Not Available,No,Medium,31,Yes,No,72.54091298,Yes
172,University of Auckland,Australia,Asia,Tropical,21441,23904,No,76,52.37349586,Yes,In-person,80,National,97,Medium,Yes,Yes,High,8.9,No,Active,Partial Scholarship,36203.03,Yes,Partial Sponsorship,English,None,Healthcare,Business,1968,4,Gym,Cafeteria,5,Jan-15,Yes,No,42,90,GBP,National Recognition,Yes,3,10,Yes,Palaces,Excellent,7.650673562,Available,No,High,51,Yes,No,94.33648311,No
